customer_id,most_popular_category,relationship_days,total_spend,beverage_categories,segment
Q6V9H3B0MD204KGR0FGC2EZ86C,"lagers, pils, wheat",456,18.5,2,cheapo
wX8YmP4ug6Wbfh1a,soda,384,18,4,cheapo
H0MFK6T19S1B6QKNQKZQ0VN3DW,seasonal/tasting/event,412,26,2,cheapo
K9PA3JPBHS61AWAR18E5MJ9MK8,seasonal,281,293.25,8,explorer
8Y8KTHYD617HJQKJCKMSRD7T6M,wine,231,48.5,3,newbie
CC1AH9H5V53QN2F3M9K06RPAFM,wine,128,155,7,explorer
4VMCJ1ZZM95KQAFR3HSRK8QWAM,wine,440,119.5,6,loyal core
5JV5FQG6AS7ZGVFK1VXENKV3C0,sour,191,216.5,10,explorer
DSPG8Q9GTS2ZQDDG6122AQQKCG,kombucha,664,70.5,3,cheapo
FY5FVBE6Z1499A8ZEJBRBR0YJ4,porter/stout,356,42,4,cheapo
5XEHKK8Z4H0NPQ3XQY68363218,snacks,365,182,8,loyal core
AZFCJPS1TS2MCH7AFKX2QVH9ZC,soda,914,178.75,7,loyal core
45NF364EJ101S4JKW9PGPAH8Y4,lagers/pils/wheat,705,63,4,cheapo
T5Q3N4A031578VYF641XCM999W,ipa,259,213,2,explorer
61D96AW5F915H3T6M6X6VNM2VM,na,308,106.5,4,explorer
Z8YC1D091H6DQ698S6RBKMVTG0,sour,167,64,3,newbie
4996DB720X4YD5J7T49EVXH2NG,wine,668,496.5,13,loyal core
VEBW7KPPSS5JF5J5098BSA8B6W,zambers/pales,392,181.5,12,loyal core
YRKMM75AP51ZZA5TZTXSSYVVHC,wine,662,78.5,8,cheapo
tTYjUwySbxZCbSQU,tasting/event,175,67.25,6,newbie
14EVFH6J5S26D063ZMYEX9BKR8,wine,235,146,6,explorer
8YQBK0KP510PSATZ3V15TCHSPR,sparkling wine,288,170.5,4,explorer
DM0EMK7NJN7N0Z612WW9841W00,seasonal/tasting/event,414,59.5,5,cheapo
T5PHJGBQ7S4CGHZCNRM7VT2T90,seasonal/tasting/event,155,58.5,4,newbie
G8GR1R5N910S0JZXJG8F8GEJJG,sour,353,187,6,loyal core
SMD8TT692D63XBPB8Z3BAK38Y0,wine,994,367,10,loyal core
RHQVYHV1392NPWH3VJ05WKTEPG,soda,224,59.5,4,newbie
X5q0goC90xcBYMUE,snacks,761,41,3,cheapo
6EJ4T4HPXH75D3A14SWATKN7VC,porters/stouts,344,78.5,4,newbie
AQ78NK4ZMS1NFDQFWKGMSA96Y0,sour,179,36,4,newbie
YpLwNhpfUpN6OApz,sour,264,81,6,newbie
W1QENFFVT915HB074YAZMJ02T0,seasonal,282,63.5,5,newbie
QMMCXQ4QNX1G10YY23GDBFWG2R,lagers/pils/wheat,182,203,4,explorer
XQVDS30R0102CWEJHY9EDX9CRM,wine,168,25.5,2,newbie
YQ51GZC04N74K72SPD34S2GYR0,sour,163,168.5,8,explorer
8T62PRFSY15D8YQNMS192XXPHR,sour,176,69,7,newbie
Z71MAJFXZ536WXVV6F6R6YZC2C,wine,134,514.25,7,explorer
6SZ74R3YFD12V6FMZ5E0N5WJZ8,wine,188,294,5,explorer
GWR7ZS0XFN4RYX618H9X3PSJHC,sour,210,30.5,4,newbie
EYZCGRC05N3YH903WC74J6ZG8R,sour,263,213,8,explorer
KS2VJ7TB3S2ZAXG81XV2D1ADH4,sour,380,60,3,cheapo
39FVHST1XD7MEMQWFXAANS37CR,wine,141,358,7,explorer
265B6N89W15C6JJM6Y8C3TYXQ0,sour,987,262.25,9,loyal core
YKGG1D9RKN2QEQFY82ZCJTPB5R,porters/stouts,993,104.5,6,loyal core
7GWXEJQ8TX15310HM90WQG22HR,sour,153,86.5,6,newbie
B2XYY9NFYX5Y544AD7VGR1M59C,sour,462,168.5,8,loyal core
2BMDVT1SWD56CVQZ3GJKPSJ1GW,wine,937,106,5,loyal core
ZDNJ3PBFHX7DD8KWVCHQVKRDT4,seasonal/tasting/event,132,83,4,newbie
4VKD6FNFYD20CRSD858TRQTMWC,wine,511,345.5,10,loyal core
RQBR1FVDMH02EPAMTWZE944X2G,sour,258,200,9,explorer
JXE43EYWRH76MZ5GXV15DAQ2F8,lagers/pils/wheat,215,46.5,2,newbie
8999YDRFQ94VBDPZQTVB8V7QY4,seasonal,187,111.25,4,explorer
ZZMSFW9NV96H1CG950NPMV61YC,sour,394,215,4,loyal core
MCW7VE74X10DES8YT8BP4BKM0R,wine,628,258,8,loyal core
YH676M6Z0N764GZREEGZSMCTEW,wine,190,88,2,newbie
S5KTPD80NH0RN7FF97N0YH7WSG,wine,267,48.5,3,newbie
8Z8DR4S7NS74Q30THRNARK3CW4,wine,126,94.25,4,newbie
GJHCTD1RFN74BAVJ04HVYG2CA4,lagers/pils/wheat,104,25.75,4,newbie
5G746KYA3H3W182JESV9NJ3B80,seasonal/event,349,150,7,loyal core
SBCYPQ64H53FAVPER8M2WQAPRG,wine,500,35.5,3,cheapo
6C1757X59H57ERQXXMHYWPT90C,wine packages/tastings,270,156,7,explorer
PY30EN1DKH1WDE9C64ZPS8DN58,wine,275,94.25,7,newbie
MSYV9RZC0H6PCW7M5ZFRWDJBGR,soda,396,84.25,5,cheapo
P30E81N1Z949WT6NH7A5QPM9P4,wine,460,37.5,2,cheapo
RW1Y52SVAH31JG31VHJ5R4J46R,ipa,120,32,1,newbie
5JSBRJ1YE96F93768AH8PJX568,lagers/pils/wheat,716,272.5,4,loyal core
24XG1GREY56QRN7PC5PNZJ1Z0M,ipa,278,31,2,newbie
BRZJYEAZDX73MWVGS4689WR61M,ipa,384,95,4,cheapo
VQTDYK52FX19YH8METAZDM77YR,lagers/pils/wheat,289,33,1,newbie
5GVSHJDKXN0D8G61AXM6SVDC0C,wine,187,100.5,9,newbie
D4PTX1NK453NKB0WC2EMPXVKEM,seasonal/event,320,287.5,9,explorer
9ZQHSDBC711KEJQ4JS58V607PW,wine package!,735,447,11,loyal core
BDKT6J7RP14Y0ZQ8ABPXFX0Q2C,zipa,335,276,14,explorer
X8TPWD1SZ553B2YGEYJB4A2W94,wine,495,101.5,3,loyal core
9GC0RWXE8N5Z0WJ6SJT9Z48HPM,ipa,386,55,2,cheapo
SAPFYPM2EN4FYTKKJXE9J10RYR,wine,456,90,3,cheapo
H7ATHGF1TS4GJMY6V3BJC6CZX4,seasonal/tasting/event,173,110,5,explorer
C6JJ8E5GM96D0WCECR8KJ0WTER,seasonal/tasting/event,243,73.5,5,newbie
4Xs9lgOqS_p7UvMX,saison,181,55.75,6,newbie
ZB491B8ECS14K33WPM74PZGRH4,sour,569,122.5,5,loyal core
P33EGC26653YFDY4172RHY9FRM,lagers/pils/wheat,282,61.5,6,newbie
JYVEHDPBA95856F1NMZ98DT5EM,seasonal,381,130,6,loyal core
9QPDNP22TN3WVAWB40K520H2H4,sour,384,564,10,loyal core
JSDPV12PAH2WBEK9YBV1JFXBKR,sour,342,126.5,6,explorer
6T2RPGQJ417MNET7TTBTAABVC0,snacks,194,30,3,newbie
S8AJQG3S3H3RVCDRXNN6NSY9DG,flight,222,56,1,newbie
XN7NJ73QEN12F4D2E2GX4MCZJG,sour,539,376.5,7,loyal core
GK4VK0QD4N6BAWST5RTBNJPB2G,ipa,561,53.25,1,cheapo
7MQN29WPJD0SCH5TVM6MVJJH4C,sour,500,56.5,5,cheapo
6N17HK6BZ56RVED1EFRYZPAPQW,wine,388,111.5,6,loyal core
EA6B8549N12J37KXRYTC1WQ41C,snacks,323,430.25,8,explorer
GM3YTMDQB56A0X6Z5BF9N8SSF0,porters/stouts,460,73.5,5,cheapo
QGCGGA8Z0N0F339CFY5DQT4TX8,ipa,310,28.75,1,newbie
RNM91A0XQS0Z52NHMBSVAH3PA0,ipa,527,51.5,3,cheapo
BW5CZ724DS23GHJK9HWM79CR9C,wine,216,99,8,newbie
P5TSP269G12DK04KPPDSTBWNRR,wine,967,403.5,7,loyal core
WRSMKEH4KS23D1B27ZCJV3FS58,wine,664,135,5,loyal core
ZTSZSTZV1S7CCYJ5WAAHFV15C4,rosé wine,630,63.75,5,cheapo
TC4RQD20RD15K1DG3RJ0KB4H6M,porters/stouts,148,36.5,5,newbie
MQGM7TCBEX7ZTH37BG7BS171HM,soda,661,54.5,4,cheapo
MBH3NEPYK941EG2QCWGS6TM0TC,porters/stouts,693,42,4,cheapo
1EKPWNJFYN58GK3R1MYTBCKAJ0,soda,109,55.5,5,newbie
P2GXXPQ2X53QTMC1125D7BCB80,porters/stouts,308,25.5,3,newbie
7EDYF67XSN2ED37VKXMY92W674,porter/stout,649,55.5,4,cheapo
DP9F79P4AH76BEMDF6HZSHC0D4,wine,174,41,2,newbie
F0ET957ENS75F4Z7JGZAA2VKJ8,porter/stout,445,48,3,cheapo
ZZW7G1Y9BS05RVQE27WV47S1E4,seasonal/tasting/event,538,83.5,5,cheapo
T4SB2KD5J90J6Q95X43ZYK9R7G,tastings,363,145.5,8,loyal core
J8RE7Z31PS74ESDPW4RGBKJWKR,wine,713,51,3,cheapo
8RTJM875EX5JTR7A56HXNQXVGR,wine,175,47,3,newbie
VXFERHK4391PPKNRCSC41THAM8,lagers/pils/wheat,561,62,3,cheapo
CZ2EJQ1GVD09K0K38ZH4QGANQR,porters/stouts,323,48,4,newbie
DH37TZ47Z933595GY9MSQ34JEM,sour,257,99,4,newbie
42SEH4TBY92R93Z3JRM9JV6FDM,zwine,350,54,4,cheapo
NPF75ZY63D3DYGQNG43EJYBYHR,tasting/event,213,69.5,5,newbie
QMPHRG3NZN77JPVM9BC7J7EM34,wine,147,76,2,newbie
QFZJABNHK54EPM8RAHCER221GC,sour,548,775.5,10,loyal core
ECA7MXPWHX3SEJ82FSNA51PDDM,sour,350,263.75,7,loyal core
7EJN45450D0XPN0W77TQZXHSA8,wine,278,299.25,12,explorer
PEECKVKHAX366S7HBX7MGCWQWW,sour,742,124,6,loyal core
8MVKZ2JZPH55TWA0EHAKWY87H8,porters/stouts,696,173,6,loyal core
FF8ZFFHBXX05PGGFB2NGAT8FFM,wine,272,89.5,6,newbie
9XHNYBJDWN0J7AQG44BSMCJFMM,ipa,103,147,1,explorer
5R5Y1W8B110XV95A7ZBQ71527W,ipa,490,66,2,cheapo
2Q9JZYD13D0BGY01XE1H0HNBJG,porters/stouts,613,44,4,cheapo
0BP9QBBV4S699FDQKKYCVW1CXW,snacks,830,230,5,loyal core
QBAA1FWKDN7ATTNXACC23WGS4G,sour,816,80,2,cheapo
G7BS5TE9DN2F6VFX8JT4NGNK28,sour,795,294,5,loyal core
NGGJFEJAA97DRN9V6932MY4AVW,tasting/event,387,26.5,4,cheapo
X81VDZARZD4ZSCNHDBESH1BY6W,sour,206,32,4,newbie
563MED368D4Y5CC0FQF7X66SFR,seasonal,456,72.5,3,cheapo
7F3Y139XF57MV1D0TCB9KMCZP8,tastings,326,146.5,6,explorer
BFEJB2ZG014099NQKCGKMCRBJW,zlagers/pils/wheat,161,364,6,explorer
WY8C9KM0SN2MWP2T0KG7KF6Y5R,z double ipa,583,252.5,10,loyal core
Z86SSX9WDN7N4TS5ZBPV88TB2W,sour,189,106.5,3,explorer
WD8TWVQTWD40HBEYZ6P5BZAW00,wine,267,138.5,7,explorer
W12YG6Z4SN6XYQZATWCRTPMJHM,seasonal,155,56.25,6,newbie
BZG6AJFXFS1XGJQMBTPXGEFHG0,ipa,231,35.5,1,newbie
4G0RK1MGFD4XV1JPCQ67A56V3W,wine,532,70.5,4,cheapo
FYFBJHA3F52Z8TYZED8GKGG574,ambers/pales,147,18,1,newbie
45A8Y1099X6717Q8B8PTS4CFZR,seasonal,128,53.5,3,newbie
xPataRgvbptmJPOF,porters/stouts,227,48.5,2,newbie
H40JTP2XAS5M0W4AB83PRGY960,sour,176,66,4,newbie
7Z9W7D38FS1M35KNDPA5S69BW8,seasonal,216,119,6,explorer
31AAKYTZGN7KMW9ETA0WS0QSGC,seasonal/event,317,123.5,5,explorer
309K7YYZG125AQJPFS2GTDVSZG,sour,169,36,3,newbie
JRN2J7AJQ952EN4ZMJAZXGWGVG,wine,382,305.5,9,loyal core
50XQYAS6AX5D4YRK58E880W0QR,wine,776,39,6,cheapo
70777D62F979PWFYDKYP4TZPSR,sour,443,28,4,cheapo
XJGK38X81N0TKDMRNZTZ2RK1V8,lagers/pils/wheat,670,131.5,4,loyal core
NEW7D6TQSD0SPGBN2SB0PPHY7G,sour,434,36,3,cheapo
23MRYR0GQS3SQ36BNWMQ4TKJAM,lagers/pils/wheat,727,101.5,3,loyal core
ZX117JXBWH6SK6RGCCB1EF23JM,sour,243,103.5,5,explorer
2W26TVV2ZN29Z7CQH7ZWQYD0S0,zlagers/pils/wheat,907,258,8,loyal core
1NDKM93ERX3CWP859E5TGBG64M,sour,186,161.5,9,explorer
K925XGPC956MZ9644AM8FTF5QC,sour,117,34,2,newbie
TPE63DSS2N6KGKAMBQ7CZS01ZW,sour,419,236.25,8,loyal core
61R1KJT4DS3YZ9CG4720FKR2BC,sour,338,42.5,2,newbie
ZNKT1RDZY520WWE0XTCJ8THE54,seasonal/event,368,23.5,3,cheapo
D49EJPE8KX7BTHHN0M6SVES9R4,z double ipa,475,136.5,9,loyal core
D0NH2XAKS923N9YA48EB7XG8E0,porter/stout,303,39,5,newbie
GY4KCXVW0X0KKBTRD07ZE5RQHG,ipa,105,44.25,1,newbie
DV5DKZNR914TMMCM37V7GCMGTG,sour,501,76.5,4,cheapo
FC0F6GGD212SX9GBW0HTQA22TM,sour,616,65.75,4,cheapo
M3KT42H5BN3KXE5YXASGKBMJZW,ipa,106,54.75,1,newbie
XZ5CKEQ8PD4PJPHYGX1RS30CEC,snacks,170,46.5,3,newbie
RYQ9C12QG54HF7HDMNQEG2DX54,zambers/pales,875,253.5,14,loyal core
5KNNDRYM3H6AV615QRNG3808QG,soda,432,224.5,4,loyal core
DVB0STRJ1N4QWWMNFCVK19JE0C,wine,165,18,3,newbie
VBTPJ9HQC52RQECB5BV2R6BGB0,sour,695,62.5,6,cheapo
EW4XMY9A41412KPSVDV31EJ9S8,zlagers/pils/wheat,623,360.5,7,loyal core
YR4MBPT1S577WWJJKV712R2S2M,wine,476,109,4,loyal core
EYEBMCH3B54XN3KFT24ZC3HXQC,wine,227,32,3,newbie
D4H8DYGKED0T9BG7Z4866FD0WR,ipa,124,35.5,2,newbie
2X103Q25RX0ZJP67V2SP5GZ0JM,porters/stouts,146,68.5,4,newbie
QMQTZA734X1AN2MKKT914VJKF0,wine packages/tastings,139,219.5,10,explorer
PB8NA34GXX3X91DJA9XG60S96C,seasonal,874,172.5,6,loyal core
BJ2SGTC7NH4NPY3XPH123VWFJR,sour,218,31,5,newbie
FS6FBJKM7X77V190TSNG0Y6MNW,sour,235,20,2,newbie
JGEMTP53JS1M4P34R13SKHK8Y4,seasonal/event,349,113.5,4,loyal core
T7084FJ99X6N0V6BBW3Y4N3Q78,wine tastings,336,156,6,explorer
HWWWASNTR9432TD16FJMCWABQW,tasting/event,909,74,8,cheapo
G3SKKP3HWH06EJWC3VF7DZQJ24,sour,464,51.5,7,cheapo
P2S1XCFSPX3S719YF5HZF402WR,sour,173,99,6,newbie
TK1RKANER5294P94Z42T6PJ4QW,seasonal/tasting/event,105,38.5,6,newbie
9Y0CJ2DTDX6ZQ8N1JS8T0PR31C,sour,151,22.5,1,newbie
VBD9TZETN56P70FTPNDFH1MNBC,na,179,63.5,3,newbie
0R6MRVRAQ10H70TZB4QNF9E0AW,sour,832,126.5,4,loyal core
4M86QTJS2S6TKE491PB4B2688W,sour,811,392.5,9,loyal core
F9AQGDZSAX5GD0QF1WBR24DFJR,sour,360,137,10,loyal core
776809Z2ZS11MXD5CY879VV6QR,wine,981,93.75,6,cheapo
8AA0FTGTCD0077AYYYD77M548G,wine,824,532.25,13,loyal core
R3HN8294A50KTH8S3PF12BDTSW,wine,204,55,5,newbie
F5YBKKKP116P9D8GSD2P9Y8C9R,wine,168,60,3,newbie
EZJNGFVWTD2J78YSXXJ7QTQ0W4,kombucha,733,108,1,loyal core
8EJRFDRNXS0YMWMPFRJY5SMAQ0,wine,342,32.5,5,newbie
7JSEEC9FB14GMMW9P06GBQGHC8,wine,300,284,10,explorer
PTPJM2692D2RH8H5SQKGJX0C40,wine,224,526,11,explorer
Y5TMDKWKPH4KQ3CMYHCPHXWN6R,snacks,948,28,2,cheapo
2PAV257S6S2F2ZV16Q2FQYNTZ8,snacks,106,145,6,explorer
4TPERGH4WN3NPQE7V9RNMY7BCC,seasonal/event,327,94.5,3,newbie
KZEQDFDM0X1AZ9E3BCPQB62B6C,sour,151,102,6,explorer
EMYD58JVG9778Q906XXB9KA2K0,seasonal/event,913,192,4,loyal core
TG639Y246X0Q6KJZ90VTVFSZJR,wine,864,95.75,4,cheapo
2RBDJWPXZ93AFF2GFHCMDRBQFR,sour,767,165.5,7,loyal core
53V86YVT6S1D772A55EAYTAPVC,sour,559,225,5,loyal core
J0YXY966CH6X8QZ4E9W28QGV0M,soda,250,209,7,explorer
G6GVW5YETN0KF041TKNCKZFCQ4,wine,550,261,9,loyal core
6WZXVWBM393MDE9KSMVXF1A3J8,seltzer,369,41,5,cheapo
ZMGZ24Y1KD3NTQF9XTCDWVN0Q8,sour,235,37,4,newbie
8Y9Y44SVNS4JEMD29QH5TJRZGM,sour,397,36.5,5,cheapo
WNZJA9F10X0T9DSQQE0FB1X8FR,wine,325,209.75,7,explorer
4PWJ5KF27N3YNCYK1NE6K91SNM,lagers/pils/wheat,659,55.5,2,cheapo
VD0J8ED5F57MWHY8QSCAGPA7EG,wine,714,41,3,cheapo
QS68V9ZMNS48K7MQKVJHRZMX7W,sour,157,16,2,newbie
SJ22CDAJ650G13D4R6KVDN17CW,wine,388,167,6,loyal core
XMJ6W6689H0YRVQ9HQP0S5MHZ4,ipa,231,91.5,4,newbie
JMH8XATDWN153E9FMWP0DDK98G,snacks,718,239,8,loyal core
4MCKYND7893RFB7JG0PRA67QQC,kombucha,410,43,2,cheapo
FWY0ZKNP196Z4WY9TNM8ZPPXCM,wine,140,109.5,6,explorer
XHRQ5CAPFX09D4GK3TM85RRDMW,wine,260,124,8,explorer
CF5448VW4X1K4T4EYZNXAZTH58,sour,707,126.75,6,loyal core
8W56Y5K86D7ZCKPEHDHZXHF0ZW,soda,205,93.5,6,newbie
Z1NHR7JQN17FB7VG8XEY70RN20,wine,126,37.5,2,newbie
M3J3JVGVSS7XH6QAWEK86V285G,sour,195,64.5,4,newbie
RKHSKGQ805592SNYHTW42N3P9G,lagers/pils/wheat,372,48,3,cheapo
FSCN4CPR9S58CSKJA2JDTD0P7W,wine,702,66,6,cheapo
D5E57Q5RG13GTHYG9Z9EABN2YM,wine,800,158.5,5,loyal core
3Z9WWYZ2T91PKFGSKJT2BHNDC8,lagers/pils/wheat,606,244,2,loyal core
3S9BQ6VTP97MEK1F86TVJRM5W0,seasonal/tasting/event,379,25,3,cheapo
XXVTHGZJ1X2V31YHBN3GHBYADM,sour,596,460,11,loyal core
XCNR8YF9HH7S1681R3SFGRWVG4,porter/stout,324,127.5,3,explorer
JDNPB8DF4908TREFHYYMWXJ730,porters/stouts,352,29.5,4,cheapo
S66CN1D6QN1MJX0F4QXQV2HAPM,snacks,468,134,3,loyal core
2RJ6DDH93H6TJRN6R87ZAJ3PRR,wine,254,55.25,3,newbie
SNMK2EKEV15DCJWECKN4BZNFMG,seasonal/event,123,17.5,2,newbie
NQ7GVYC8KS67EYMQEF4HGC7ZF4,lagers/pils/wheat,257,82,4,newbie
F8741MCTD941PX09WTH8NMYDWW,tastings,422,88,5,cheapo
GHE5TDMS8X6EJNK89X8CE2G82C,soda,398,134.5,9,loyal core
RS2T07PZZ96M3EM4N4SNDQDKRC,seasonal,287,26,2,newbie
0JG3JT0W0928TNGYXWJTE1GWP0,wine,189,136,3,explorer
PP914A6B412N0SVX8RRXXBB22G,seasonal/tasting/event,732,84.5,5,cheapo
G8J66CJ56H31Q2NNWGRRPGEKJC,sour,841,173,6,loyal core
2GS3W63Y8N3DCPKVEXG9PE07HG,sour,819,217.5,8,loyal core
Z24G42BQDS7A6NE134KMP3GFAM,ipa,272,50.5,2,newbie
0HHJV58AAS6EDFN7MBW9062888,sour,303,68,2,newbie
FFYWWMHF2N5RQD5C00DG5BJAV4,wine,340,146.25,6,explorer
AGYYJ5QM25780GB40GN0A8WYPC,sour,177,10,2,newbie
AYPNEV0KVN3VWKZQP6H8JYJ3QW,seasonal,923,77.5,3,cheapo
1J0S29T6VH17K8DPB4047N65GG,seasonal,104,24.25,3,newbie
AHM547GXCX0CWX8QQW803VJS5G,seasonal/event,322,44.5,5,newbie
9N5QSN5E8D5X5BCGM288BFYFG8,sour,532,66.5,4,cheapo
307QMQHWR57Z6YT9XXPNZ349ER,ipa,295,37,3,newbie
1308QBDC7S3SK92RPNR3FBSZX0,sour,743,181.5,8,loyal core
VMFHBT80992EER9HFB6MZDZ2SM,wine,364,107.5,5,loyal core
5TPCA2867N780W1SH0HQ25FH7G,wine,987,199.25,8,loyal core
1D07ZH152N0Y54WEGE6WFA95R8,zipa,988,159.5,9,loyal core
CNZR44WDT14AQ1ZT58TEQBERWC,wine,217,31.5,5,newbie
F9YDFRCJ292JGZMW44DEJ1NBP4,tastings,748,318.75,10,loyal core
XGNX5011453XD5CW627SQGPAK4,wine,113,47.5,1,newbie
RX7J4X7CWN5JYQ44M8RZ8CHYB8,seasonal/tasting/event,202,18,3,newbie
D3VGANA5W11FSFAWKYZ04J73ZR,sour,730,127,5,loyal core
DB876PEDZH54SE0YN439WYBXCC,wine,224,144,4,explorer
F16VPWVDBN7EJQQK48S4B3GVD8,seasonal/event,874,55.5,2,cheapo
4RNK9PSXC150B02XJBJ6T69WM4,wine,897,302,8,loyal core
X44C8Y7K9D54YWK4XBQ6KTZZV4,sour,337,84,6,newbie
7Q8QW9JB8H1ERVKWBJFPSKPDHG,seasonal/event,768,538.5,6,loyal core
B4J29A9EMN3D7233NYG0P06YVC,seasonal,949,66.5,6,cheapo
YJ9R48ABB55SB0XMWAXRHF54AG,sparkling wine,604,464,15,loyal core
3A5XW557V14MPVRGJQCNZYKP8W,ipa,117,15,3,newbie
MGMK5MC1GX3PANXS3J7VKBJ7A4,sour,604,91.5,7,cheapo
MWNQZH2ABX3VEVXE7FJSKT4P44,sour,156,37.5,4,newbie
WZ13FQK8WD1K4NSM7MYW77M1J8,wine,411,243,9,loyal core
GCV6GRASSH297FHKVG8AJPEWXC,seasonal,569,241,7,loyal core
CRDYVP4S251ND4PRTM7NV6KWM4,wine,398,43.5,4,cheapo
WQBCNJH0691SBF8M29A1QP7VFG,ipa,306,52,4,newbie
PE5P0NXD1140CSBEJJEEQCZ0S8,soda,565,157,7,loyal core
3A4FWGASF917QDDGN6S4TNGX7M,sour,450,199.5,7,loyal core
Q8HC59KER157AKDZFDQMCPKY8G,wine,625,88.25,3,cheapo
GR3WDQ2TEN0EVFY1H7XFAPXHNM,wine,311,187,6,explorer
